dog_id,date,breed,sex,age_months,age_years,height_cm,length_cm,weight_kg,avg_daily_play_min,avg_daily_walk_min,activity_minutes,activity_score_percent,sleep_hours,rer,mer_multiplier,calories_per_day,activity_cluster,activity_label
DOG0171,2025-06-10,Beagle,F,22,1.83,34.7,37.3,9.59,44.1,27.2,71.3,4.95,11.8,381.5,1.23,498.3,1,Low activity
DOG0172,2025-01-24,Labrador Retriever,M,26,2.17,51.7,71.7,23.97,8.0,43.3,51.3,3.56,12.6,758.3,1.22,993.9,1,Low activity
DOG0173,2025-05-08,Mixed,F,10,0.83,32.8,45.9,14.08,10.3,68.6,78.9,5.48,10.9,508.8,1.848681829323606,898.4,2,Hyperactive
DOG0174,2025-02-28,Labrador Retriever,M,26,2.17,56.3,60.9,33.65,45.1,27.6,72.7,5.05,12.2,978.0,1.29,1167.3,1,Low activity
DOG0175,2025-06-04,Boxer,M,91,7.58,59.6,75.4,29.57,44.8,31.3,76.1,5.28,9.9,887.6,1.3,1220.5,0,Normal
DOG0176,2025-06-11,Pomeranian,F,13,1.08,22.1,29.9,2.56,32.3,42.4,74.7,5.19,11.5,141.7,1.2,191.3,2,Hyperactive
DOG0177,2025-01-02,Labrador Retriever,M,45,3.75,61.1,60.5,34.19,53.5,17.6,71.1,4.94,10.2,989.7,1.26,1311.2,0,Normal
DOG0178,2025-09-28,Golden Retriever,F,30,2.5,58.7,68.9,30.41,7.7,42.3,50.0,3.47,13.0,906.5,1.18,1020.0,1,Low activity
DOG0179,2024-11-30,Beagle,M,14,1.17,38.2,35.8,10.31,5.7,56.9,62.6,4.35,12.3,402.8,1.26,502.1,1,Low activity
DOG0180,2025-09-13,Mixed,M,26,2.17,31.8,39.8,16.4,0.0,0.3,0.3,0.02,11.9,570.5,1.13,602.6,1,Low activity
DOG0181,2025-07-15,Dachshund,M,32,2.67,14.3,19.5,10.41,15.1,79.1,94.2,6.54,10.2,405.7,1.32,566.5,2,Hyperactive
DOG0182,2025-01-25,Golden Retriever,F,44,3.67,55.2,66.2,26.53,36.2,84.2,120.4,8.36,10.0,818.3,1.35,1107.5,2,Hyperactive
DOG0183,2025-09-14,Poodle (Standard),F,8,0.67,56.9,68.8,21.0,64.5,69.6,134.1,9.31,12.3,686.7,2.1340342152791516,1479.8,2,Hyperactive
DOG0184,2025-01-12,Pomeranian,F,9,0.75,24.8,30.6,1.83,77.4,29.0,106.4,7.39,10.8,110.1,1.6094879177397774,168.7,0,Normal
DOG0185,2025-05-31,Siberian Husky,F,3,0.25,56.2,74.1,14.79,74.9,45.6,120.5,8.37,9.5,527.9,2.742881493667939,1454.6,0,Normal
DOG0186,2025-11-08,Chihuahua,M,8,0.67,22.5,24.0,1.93,88.0,34.7,122.7,8.52,12.5,114.6,1.92101530275936,223.7,0,Normal
DOG0187,2025-08-16,Chihuahua,M,21,1.75,15.0,15.8,1.74,39.5,27.6,67.1,4.66,11.0,106.0,1.32,131.3,0,Normal
DOG0188,2025-02-22,German Shepherd,M,2,0.17,58.2,76.1,19.87,42.5,0.0,42.5,2.95,11.8,658.8,2.5355538148796724,1582.9,1,Low activity
DOG0189,2025-03-10,Boxer,M,74,6.17,62.4,80.7,30.97,26.0,10.5,36.5,2.53,12.5,919.0,1.21,1134.6,1,Low activity
DOG0190,2025-06-29,Dachshund,F,70,5.83,19.2,21.5,10.2,25.5,35.1,60.6,4.21,12.4,399.5,1.24,551.2,1,Low activity
DOG0191,2024-11-28,Poodle (Standard),M,19,1.58,59.4,57.0,31.5,9.8,19.9,29.7,2.06,10.7,930.7,1.16,1113.1,1,Low activity
DOG0192,2025-03-26,Rottweiler,M,20,1.67,66.0,82.4,49.08,11.7,45.0,56.7,3.94,12.6,1298.0,1.18,1540.5,1,Low activity
DOG0193,2025-02-17,German Shepherd,M,5,0.42,61.0,82.2,21.63,46.7,23.1,69.8,4.85,14.6,702.1,2.628426456614587,1782.9,1,Low activity
DOG0194,2025-05-29,Golden Retriever,M,46,3.83,57.0,75.3,31.68,0.0,56.7,56.7,3.94,11.9,934.7,1.22,1133.6,2,Hyperactive
DOG0195,2024-12-26,French Bulldog,F,2,0.17,30.3,30.4,6.6,39.6,19.8,59.4,4.12,12.9,288.2,2.9817073425211413,877.6,1,Low activity
DOG0196,2025-09-25,Golden Retriever,F,2,0.17,50.6,47.3,17.2,95.8,41.6,137.4,9.54,10.7,591.2,2.3499449395296397,1380.7,0,Normal
DOG0197,2024-12-06,Shih Tzu,M,35,2.92,21.2,20.2,5.32,36.7,0.0,36.7,2.55,12.1,245.2,1.28,329.0,1,Low activity
DOG0198,2025-06-09,Dachshund,F,48,4.0,14.8,18.9,9.91,36.1,90.1,126.2,8.76,11.2,391.0,1.32,483.8,2,Hyperactive
DOG0199,2024-12-15,French Bulldog,F,17,1.42,31.3,31.1,11.69,38.3,58.8,97.1,6.74,13.1,442.5,1.2,539.6,1,Low activity
DOG0200,2025-02-20,Pomeranian,F,20,1.67,26.2,33.4,2.93,18.7,41.6,60.3,4.19,12.6,156.8,1.17,191.1,1,Low activity
DOG0201,2025-05-23,Mixed,F,53,4.42,48.2,47.0,17.7,2.1,23.4,25.5,1.77,12.2,604.1,1.2,793.5,1,Low activity
DOG0202,2025-05-27,Poodle (Standard),F,20,1.67,56.7,74.1,25.57,55.0,1.1,56.1,3.9,11.2,796.0,1.29,961.1,0,Normal
DOG0203,2025-08-08,Shih Tzu,F,29,2.42,25.8,34.4,6.39,76.8,0.0,76.8,5.33,10.7,281.3,1.28,363.7,0,Normal
DOG0204,2024-12-18,French Bulldog,F,36,3.0,30.1,40.0,8.57,39.9,53.2,93.1,6.47,10.7,350.6,1.3,461.5,2,Hyperactive
DOG0205,2025-08-06,Dachshund,F,37,3.08,16.1,15.7,11.08,60.9,52.2,113.1,7.85,10.4,425.1,1.25,543.0,0,Normal
DOG0206,2025-10-28,Labrador Retriever,M,21,1.75,59.2,72.2,32.53,62.7,30.3,93.0,6.46,10.7,953.5,1.26,1325.6,0,Normal
DOG0207,2025-07-30,Pomeranian,M,33,2.75,29.2,39.2,2.4,47.6,27.8,75.4,5.24,10.6,135.0,1.25,177.6,0,Normal
DOG0208,2025-10-07,Siberian Husky,F,53,4.42,50.0,54.9,16.27,54.3,22.2,76.5,5.31,10.9,567.1,1.31,738.5,0,Normal
DOG0209,2025-07-24,Golden Retriever,M,6,0.5,50.5,70.0,17.95,40.0,45.8,85.8,5.96,10.4,610.4,1.6778073869345413,986.6,2,Hyperactive
DOG0210,2024-12-06,Beagle,F,6,0.5,38.6,49.7,7.52,46.6,41.0,87.6,6.08,11.7,317.9,1.8870976697535773,581.9,0,Normal
DOG0211,2025-08-12,Labrador Retriever,M,74,6.17,59.8,83.2,35.41,14.8,4.2,19.0,1.32,10.5,1016.1,1.22,1241.4,1,Low activity
DOG0212,2025-02-04,Beagle,F,65,5.42,40.6,40.5,11.08,54.8,0.0,54.8,3.81,11.0,425.1,1.28,534.9,0,Normal
DOG0213,2025-05-19,Pomeranian,F,4,0.33,21.0,28.9,1.84,15.3,20.9,36.2,2.51,12.5,110.6,2.552662267776748,295.4,1,Low activity
DOG0214,2025-02-12,Rottweiler,M,11,0.92,56.8,56.3,41.4,57.0,62.7,119.7,8.31,10.4,1142.5,1.8204344372182424,2090.4,2,Hyperactive
DOG0215,2024-12-24,Rottweiler,M,160,13.33,54.9,56.3,43.5,59.7,50.6,110.3,7.66,13.1,1185.7,1.25,1431.6,1,Low activity
DOG0216,2025-11-24,German Shepherd,M,15,1.25,57.3,52.7,30.15,13.3,43.0,56.3,3.91,8.8,900.7,1.13,974.0,2,Hyperactive
DOG0217,2025-05-30,Boxer,M,43,3.58,63.2,68.8,32.04,83.5,57.0,140.5,9.76,10.3,942.7,1.31,1149.9,0,Normal
DOG0218,2025-04-08,Poodle (Standard),M,2,0.17,42.7,56.3,17.3,7.7,18.1,25.8,1.79,10.8,593.8,2.3797515229193174,1387.1,1,Low activity
DOG0219,2025-06-30,German Shepherd,M,30,2.5,62.0,82.4,30.55,0.0,54.8,54.8,3.81,11.2,909.6,1.21,978.9,2,Hyperactive
DOG0220,2025-03-24,Mixed,F,97,8.08,32.3,38.9,14.04,36.4,36.2,72.6,5.04,10.2,507.7,1.29,697.1,2,Hyperactive
DOG0221,2025-02-12,Pomeranian,F,11,0.92,20.2,19.1,2.09,53.2,4.1,57.3,3.98,10.9,121.7,2.0260795843387225,240.3,0,Normal
DOG0222,2025-02-17,German Shepherd,F,21,1.75,59.7,73.5,26.86,61.1,59.8,120.9,8.4,11.7,825.9,1.3,1115.7,2,Hyperactive
DOG0223,2025-02-05,Boxer,F,15,1.25,58.5,61.3,26.85,48.2,33.5,81.7,5.67,12.1,825.7,1.26,1057.2,1,Low activity
DOG0224,2025-10-17,Dachshund,F,5,0.42,21.0,23.0,9.54,36.8,18.1,54.9,3.81,11.6,380.0,2.6996899090587085,1058.6,1,Low activity
DOG0225,2025-08-28,French Bulldog,M,2,0.17,32.0,38.0,7.57,22.4,19.9,42.3,2.94,12.2,319.5,2.1032650088750486,725.1,1,Low activity
DOG0226,2024-12-26,Chihuahua,F,29,2.42,17.7,16.2,1.93,28.1,17.3,45.4,3.15,10.3,114.6,1.24,148.0,0,Normal
DOG0227,2025-07-06,Chihuahua,M,15,1.25,18.1,23.6,1.73,20.8,32.3,53.1,3.69,11.5,105.6,1.2,115.7,1,Low activity
DOG0228,2025-11-13,Chihuahua,M,22,1.83,17.5,20.4,2.46,25.9,5.5,31.4,2.18,11.9,137.5,1.22,186.7,1,Low activity
DOG0229,2025-01-16,Golden Retriever,M,25,2.08,59.6,55.0,34.4,70.1,8.6,78.7,5.47,9.1,994.3,1.32,1284.1,0,Normal
DOG0230,2025-06-20,Poodle (Standard),M,8,0.67,49.2,66.6,21.7,32.1,79.4,111.5,7.74,10.7,703.8,2.1812047633446143,1499.6,2,Hyperactive
DOG0231,2024-12-11,Mixed,M,78,6.5,53.4,64.9,20.36,46.4,85.1,131.5,9.13,12.9,670.9,1.25,822.6,2,Hyperactive
DOG0232,2025-01-07,Poodle (Standard),F,20,1.67,51.9,70.5,25.77,46.4,0.0,46.4,3.22,9.5,800.6,1.21,963.3,0,Normal
DOG0233,2025-11-08,Shih Tzu,F,42,3.5,22.1,29.4,4.75,40.6,5.7,46.3,3.22,10.6,225.2,1.33,296.3,0,Normal
DOG0234,2025-11-01,German Shepherd,F,7,0.58,58.7,59.4,24.63,0.0,29.8,29.8,2.07,10.3,773.9,2.0543697869653004,1537.9,1,Low activity
DOG0235,2025-03-09,Dachshund,F,6,0.5,15.2,13.9,7.56,29.9,39.1,69.0,4.79,10.8,319.1,1.8357370653359075,587.7,2,Hyperactive
DOG0236,2025-11-14,Chihuahua,M,10,0.83,20.3,22.0,2.15,51.4,38.9,90.3,6.27,11.7,124.3,1.6791791917743772,194.8,0,Normal
DOG0237,2025-02-24,French Bulldog,M,9,0.75,29.6,30.5,8.74,59.3,28.2,87.5,6.08,11.7,355.8,2.0554521595333832,727.9,0,Normal
DOG0238,2025-10-23,Golden Retriever,M,12,1.0,63.3,74.3,33.34,51.5,40.9,92.4,6.42,10.8,971.2,1.16,1198.7,0,Normal
DOG0239,2024-12-18,German Shepherd,F,10,0.83,63.3,64.2,30.79,11.0,67.2,78.2,5.43,12.5,915.0,1.8381952973244846,1720.1,2,Hyperactive
DOG0240,2025-01-28,Boxer,M,40,3.33,57.2,76.3,32.01,14.0,40.2,54.2,3.76,9.3,942.0,1.19,1207.3,2,Hyperactive
DOG0241,2025-08-12,Labrador Retriever,M,11,0.92,56.3,53.5,29.35,130.9,0.0,130.9,9.09,10.9,882.7,1.9912558371289906,1804.4,0,Normal
DOG0242,2025-02-18,Shih Tzu,M,4,0.33,28.4,35.1,4.18,82.0,55.3,137.3,9.53,12.0,204.6,2.5753591731290983,499.9,0,Normal
DOG0243,2025-11-14,Labrador Retriever,M,103,8.58,56.4,69.4,25.42,24.7,57.7,82.4,5.72,10.5,792.5,1.26,920.2,2,Hyperactive
DOG0244,2025-08-08,Beagle,M,2,0.17,32.6,38.3,6.88,26.2,32.2,58.4,4.06,13.5,297.4,2.5002785352077606,789.9,1,Low activity
DOG0245,2025-05-15,Labrador Retriever,F,15,1.25,59.5,74.8,29.92,23.2,56.5,79.7,5.53,12.1,895.5,1.3,1190.5,2,Hyperactive
DOG0246,2025-03-15,Golden Retriever,F,3,0.25,60.5,64.3,20.38,29.3,23.8,53.1,3.69,7.7,671.4,2.318262041385726,1572.0,0,Normal
DOG0247,2025-04-21,Chihuahua,M,2,0.17,21.2,22.9,2.11,54.6,8.5,63.1,4.38,11.5,122.5,2.5488728015425997,326.3,0,Normal
DOG0248,2024-12-21,Golden Retriever,M,13,1.08,49.5,48.9,26.38,53.3,33.4,86.7,6.02,12.5,814.8,1.21,879.5,1,Low activity
DOG0249,2025-05-22,Dachshund,M,5,0.42,19.4,24.2,7.91,81.1,44.2,125.3,8.7,11.8,330.2,2.186639939797683,760.0,0,Normal
DOG0250,2025-03-04,Chihuahua,M,24,2.0,20.9,24.6,2.07,5.0,0.0,5.0,0.35,12.8,120.8,1.26,145.0,1,Low activity
DOG0251,2025-01-13,Siberian Husky,F,2,0.17,54.9,68.3,11.93,36.0,36.5,72.5,5.03,12.9,449.3,2.7302217177572494,1277.1,1,Low activity
DOG0252,2025-07-27,Mixed,F,52,4.33,33.7,46.2,18.08,28.2,58.9,87.1,6.05,11.7,613.8,1.26,797.7,2,Hyperactive
DOG0253,2025-09-08,French Bulldog,F,10,0.83,29.0,31.6,9.33,38.7,15.3,54.0,3.75,9.1,373.7,1.8404225001006802,667.2,0,Normal
DOG0254,2025-01-24,Pomeranian,F,2,0.17,24.8,27.2,2.74,0.0,17.5,17.5,1.22,11.2,149.1,2.2624705851212648,331.4,1,Low activity
DOG0255,2025-03-27,French Bulldog,M,4,0.33,30.4,30.5,7.42,43.1,45.8,88.9,6.17,9.0,314.7,2.8030118815263205,905.3,2,Hyperactive
DOG0256,2025-05-29,Labrador Retriever,F,85,7.08,56.4,55.0,27.0,60.6,72.4,133.0,9.24,13.6,829.1,1.25,1069.0,2,Hyperactive
DOG0257,2025-03-25,German Shepherd,F,14,1.17,66.0,70.1,36.55,6.5,74.1,80.6,5.6,10.7,1040.6,1.17,1313.4,2,Hyperactive
DOG0258,2025-11-15,Labrador Retriever,F,11,0.92,59.3,64.7,27.6,58.1,47.4,105.5,7.33,10.8,842.9,1.6290176266292686,1275.4,0,Normal
DOG0259,2025-03-06,Chihuahua,F,15,1.25,22.2,27.0,2.46,52.3,28.8,81.1,5.63,14.1,137.5,1.29,183.7,1,Low activity
DOG0260,2025-02-05,Labrador Retriever,F,62,5.17,58.2,60.6,29.62,74.9,0.0,74.9,5.2,12.4,888.8,1.16,1131.9,0,Normal
DOG0261,2025-11-25,Poodle (Standard),M,17,1.42,59.3,55.2,26.78,24.6,62.9,87.5,6.08,11.9,824.1,1.25,1168.8,2,Hyperactive
DOG0262,2025-08-26,Beagle,F,21,1.75,37.3,51.0,10.24,57.8,54.5,112.3,7.8,10.5,400.7,1.21,501.0,2,Hyperactive
DOG0263,2025-06-04,Siberian Husky,M,24,2.0,54.3,68.7,22.49,4.2,30.3,34.5,2.4,12.3,722.9,1.19,889.9,1,Low activity
DOG0264,2025-04-20,Mixed,M,11,0.92,37.6,48.5,17.12,44.2,17.4,61.6,4.28,11.4,589.1,1.708535140827339,978.4,0,Normal
DOG0265,2025-11-10,Pomeranian,F,64,5.33,28.5,38.0,2.84,23.2,0.0,23.2,1.61,13.1,153.1,1.22,186.9,1,Low activity
DOG0266,2025-07-03,Siberian Husky,F,184,15.33,50.9,56.9,17.48,13.0,0.0,13.0,0.9,13.0,598.4,1.26,785.2,1,Low activity
DOG0267,2025-08-09,Rottweiler,M,22,1.83,63.4,75.1,51.54,17.3,41.8,59.1,4.1,13.2,1346.5,1.28,1607.5,1,Low activity
DOG0268,2025-09-12,French Bulldog,M,25,2.08,27.1,36.7,9.39,28.8,14.3,43.1,2.99,12.6,375.5,1.22,448.6,1,Low activity
DOG0269,2024-12-16,Rottweiler,F,6,0.5,61.8,58.4,37.75,104.7,0.0,104.7,7.27,11.2,1066.1,1.6135387070232083,1739.7,0,Normal
DOG0270,2025-11-05,Beagle,F,59,4.92,39.1,41.0,9.71,8.6,24.4,33.0,2.29,13.3,385.0,1.32,466.1,1,Low activity
DOG0271,2025-07-03,Pomeranian,F,3,0.25,19.1,19.2,0.92,16.7,45.8,62.5,4.34,11.4,65.8,2.5645906389334634,173.9,2,Hyperactive
DOG0272,2025-05-11,Shih Tzu,F,2,0.17,25.6,31.2,3.31,38.9,0.0,38.9,2.7,12.5,171.8,2.040288945734542,347.1,1,Low activity
DOG0273,2025-08-12,Beagle,M,8,0.67,41.5,43.6,9.85,72.0,16.0,88.0,6.11,12.7,389.2,1.945036344075289,784.9,0,Normal
DOG0274,2024-12-03,Boxer,M,5,0.42,56.8,62.4,18.7,58.1,42.8,100.9,7.01,12.5,629.5,2.143161357811193,1311.6,0,Normal
DOG0275,2025-04-25,Siberian Husky,M,55,4.58,60.5,56.9,23.81,55.8,56.9,112.7,7.83,11.4,754.5,1.28,992.1,2,Hyperactive
DOG0276,2025-01-03,Shih Tzu,M,2,0.17,25.2,25.6,3.25,23.5,19.5,43.0,2.99,11.0,169.4,2.2356228511916485,391.6,1,Low activity
DOG0277,2024-12-30,German Shepherd,F,48,4.0,60.5,62.1,30.25,39.6,54.9,94.5,6.56,11.1,902.9,1.2,1055.1,2,Hyperactive
DOG0278,2024-12-26,Dachshund,F,18,1.5,18.6,24.1,9.52,34.4,72.8,107.2,7.44,10.2,379.4,1.24,423.3,2,Hyperactive
DOG0279,2025-05-18,Labrador Retriever,M,71,5.92,58.2,72.6,32.9,43.0,23.3,66.3,4.6,11.6,961.6,1.23,1085.9,1,Low activity
DOG0280,2025-07-19,Poodle (Standard),M,146,12.17,49.6,59.4,21.27,0.0,25.3,25.3,1.76,12.4,693.3,1.27,814.0,1,Low activity
DOG0281,2025-06-17,Mixed,F,49,4.08,32.0,42.3,17.24,12.1,40.6,52.7,3.66,10.4,592.2,1.14,680.3,2,Hyperactive
DOG0282,2025-09-17,German Shepherd,M,2,0.17,62.0,59.5,22.13,0.0,25.9,25.9,1.8,11.1,714.2,2.035590230806476,1472.7,1,Low activity
DOG0283,2025-05-14,Labrador Retriever,M,49,4.08,55.7,62.7,29.28,65.0,46.5,111.5,7.74,11.9,881.1,1.32,1165.7,0,Normal
DOG0284,2025-01-02,Mixed,M,156,13.0,46.9,48.0,16.26,11.4,49.6,61.0,4.24,10.8,566.8,1.28,703.0,2,Hyperactive
DOG0285,2025-05-03,Beagle,M,9,0.75,33.8,35.3,7.61,0.0,0.0,0.0,0.0,11.8,320.7,1.7788397207020026,562.1,1,Low activity
DOG0286,2025-01-03,Chihuahua,M,36,3.0,16.2,19.0,1.92,36.6,23.5,60.1,4.17,11.5,114.2,1.22,137.8,1,Low activity
DOG0287,2025-04-01,Poodle (Standard),F,109,9.08,58.2,65.3,27.27,26.6,19.9,46.5,3.23,12.8,835.3,1.31,1030.8,1,Low activity
DOG0288,2024-12-18,Poodle (Standard),M,17,1.42,51.4,50.9,25.93,37.0,39.8,76.8,5.33,12.9,804.4,1.21,1050.3,1,Low activity
DOG0289,2025-06-21,Siberian Husky,M,27,2.25,54.9,72.1,22.71,44.1,73.8,117.9,8.19,11.3,728.2,1.32,985.6,2,Hyperactive
DOG0290,2025-07-19,Chihuahua,M,5,0.42,16.2,19.8,1.08,99.2,19.0,118.2,8.21,10.8,74.2,2.8009387215414305,199.2,0,Normal
DOG0291,2025-04-24,French Bulldog,M,19,1.58,28.4,33.7,10.28,43.8,22.4,66.2,4.6,11.7,401.9,1.17,477.1,1,Low activity
DOG0292,2025-06-22,Mixed,M,23,1.92,27.5,29.0,16.86,56.2,39.1,95.3,6.62,11.4,582.4,1.2,630.1,0,Normal
DOG0293,2025-02-01,Beagle,F,48,4.0,37.5,38.0,8.82,36.3,0.0,36.3,2.52,11.6,358.3,1.25,384.9,1,Low activity
DOG0294,2025-11-01,Poodle (Standard),M,20,1.67,50.1,63.3,26.5,20.1,52.5,72.6,5.04,11.5,817.6,1.22,1103.6,2,Hyperactive
DOG0295,2025-07-09,French Bulldog,F,21,1.75,33.0,32.8,10.81,50.7,13.0,63.7,4.42,11.3,417.3,1.32,521.3,0,Normal
DOG0296,2025-10-11,Mixed,F,34,2.83,41.9,51.7,14.3,22.5,1.3,23.8,1.65,11.4,514.8,1.25,661.3,1,Low activity
DOG0297,2025-06-24,Siberian Husky,F,52,4.33,56.4,69.0,22.55,23.2,66.0,89.2,6.19,10.5,724.4,1.13,794.6,2,Hyperactive
DOG0298,2025-03-04,Shih Tzu,M,15,1.25,26.1,27.1,6.23,39.7,20.6,60.3,4.19,10.6,276.0,1.32,367.0,0,Normal
DOG0299,2025-09-02,Dachshund,F,48,4.0,16.5,16.4,9.64,22.1,59.8,81.9,5.69,10.5,383.0,1.24,491.6,2,Hyperactive
DOG0300,2025-01-21,Siberian Husky,F,46,3.83,57.7,73.9,20.34,55.8,66.4,122.2,8.49,14.0,670.4,1.17,803.5,1,Low activity
DOG0301,2025-05-21,Boxer,F,10,0.83,61.0,81.0,22.96,88.8,48.0,136.8,9.5,12.1,734.2,2.101849357947914,1487.3,0,Normal
DOG0302,2025-08-08,Bulldog,M,91,7.58,32.6,37.2,20.2,69.6,14.1,83.7,5.81,10.4,667.0,1.24,788.9,0,Normal
DOG0303,2025-04-11,Shih Tzu,M,143,11.92,23.3,30.2,4.13,16.1,18.8,34.9,2.42,11.8,202.8,1.2,239.1,1,Low activity
DOG0304,2025-02-20,Labrador Retriever,M,31,2.58,56.8,54.1,27.84,20.3,84.0,104.3,7.24,12.2,848.4,1.19,931.5,2,Hyperactive
DOG0305,2025-09-05,Golden Retriever,M,3,0.25,50.5,48.3,18.24,11.3,4.0,15.3,1.06,11.9,617.8,2.751770787682978,1712.0,1,Low activity
DOG0306,2025-05-29,French Bulldog,F,2,0.17,31.8,43.4,6.34,67.6,48.7,116.3,8.08,10.7,279.7,2.6486829533573646,746.4,0,Normal
DOG0307,2025-04-21,Beagle,F,23,1.92,39.3,43.3,10.8,4.2,29.2,33.4,2.32,10.5,417.0,1.14,464.5,1,Low activity
DOG0308,2025-04-14,Shih Tzu,M,109,9.08,22.3,20.2,5.53,0.0,15.7,15.7,1.09,13.9,252.4,1.15,271.9,1,Low activity
DOG0309,2025-01-23,Boxer,F,40,3.33,57.1,78.2,25.59,24.8,65.1,89.9,6.24,12.2,796.4,1.24,947.8,2,Hyperactive
DOG0310,2024-12-12,Golden Retriever,F,90,7.5,49.9,50.9,22.1,77.9,59.1,137.0,9.51,13.3,713.5,1.3,964.3,0,Normal
DOG0311,2025-08-28,Siberian Husky,M,48,4.0,49.8,46.3,19.53,0.0,10.1,10.1,0.7,11.8,650.3,1.25,823.7,1,Low activity
DOG0312,2025-09-07,Siberian Husky,F,19,1.58,57.2,51.7,18.39,70.3,32.0,102.3,7.1,11.1,621.6,1.27,833.8,0,Normal
DOG0313,2025-09-03,Poodle (Standard),F,21,1.75,61.0,63.9,29.97,35.6,57.6,93.2,6.47,11.7,896.6,1.22,1061.8,2,Hyperactive
DOG0314,2025-10-23,Labrador Retriever,F,25,2.08,59.0,62.1,29.83,29.5,49.0,78.5,5.45,9.5,893.5,1.24,1073.3,2,Hyperactive
DOG0315,2025-10-27,Chihuahua,M,21,1.75,17.1,15.8,1.39,39.7,0.0,39.7,2.76,11.7,89.6,1.23,112.9,1,Low activity
DOG0316,2025-11-05,Labrador Retriever,M,53,4.42,59.9,66.7,31.36,43.9,45.4,89.3,6.2,12.3,927.6,1.24,1127.6,1,Low activity
DOG0317,2025-10-17,Mixed,M,96,8.0,27.1,31.8,16.15,17.6,44.0,61.6,4.28,13.5,563.9,1.21,735.8,1,Low activity
DOG0318,2025-09-06,German Shepherd,M,25,2.08,56.6,59.5,29.28,33.9,49.3,83.2,5.78,13.5,881.1,1.22,1097.8,1,Low activity
DOG0319,2025-02-16,Shih Tzu,M,2,0.17,19.9,18.5,2.92,37.6,1.9,39.5,2.74,12.1,156.4,2.8518459258388877,448.1,1,Low activity
DOG0320,2025-01-20,Beagle,F,9,0.75,32.6,37.6,7.76,105.6,55.0,160.6,11.15,10.9,325.5,1.6836701417230961,575.5,0,Normal
DOG0321,2025-05-06,Mixed,F,17,1.42,29.1,30.0,17.46,41.7,32.6,74.3,5.16,14.9,597.9,1.29,795.0,1,Low activity
DOG0322,2025-11-09,German Shepherd,M,11,0.92,55.6,72.9,27.57,66.4,65.6,132.0,9.17,11.0,842.2,1.9846149145812129,1773.7,2,Hyperactive
DOG0323,2025-01-08,Golden Retriever,F,45,3.75,57.5,53.6,28.39,71.9,43.7,115.6,8.03,9.3,860.9,1.25,1159.3,0,Normal
DOG0324,2025-08-10,German Shepherd,M,9,0.75,54.5,60.3,23.41,68.0,0.0,68.0,4.72,12.3,745.0,1.640822388455002,1154.6,0,Normal
DOG0325,2025-01-07,Pomeranian,M,49,4.08,17.7,21.6,2.16,14.1,35.9,50.0,3.47,11.3,124.7,1.17,144.2,1,Low activity
DOG0326,2025-05-26,Beagle,M,46,3.83,39.8,54.0,11.98,30.6,14.3,44.9,3.12,9.1,450.8,1.21,579.4,0,Normal
DOG0327,2025-10-12,Poodle (Standard),F,21,1.75,45.7,51.4,23.54,30.6,21.8,52.4,3.64,10.8,748.1,1.14,881.7,1,Low activity
DOG0328,2025-06-13,Shih Tzu,F,4,0.33,26.7,25.6,4.33,80.9,47.1,128.0,8.89,13.0,210.1,2.034376858351725,385.6,0,Normal
DOG0329,2025-08-26,Labrador Retriever,F,24,2.0,56.3,78.8,24.75,30.3,72.4,102.7,7.13,13.6,776.7,1.27,1012.4,2,Hyperactive
DOG0330,2025-09-23,Shih Tzu,F,35,2.92,20.5,19.6,4.67,27.5,39.0,66.5,4.62,11.9,222.4,1.21,275.1,1,Low activity
DOG0331,2025-10-06,Golden Retriever,F,15,1.25,59.3,81.0,28.8,56.9,86.4,143.3,9.95,11.2,870.2,1.24,1041.4,2,Hyperactive
DOG0332,2024-12-15,Labrador Retriever,M,32,2.67,60.6,80.5,36.01,40.7,46.4,87.1,6.05,11.0,1029.0,1.28,1377.1,2,Hyperactive
DOG0333,2025-03-07,Boxer,M,13,1.08,53.7,64.4,27.02,0.0,36.1,36.1,2.51,11.0,829.6,1.25,1114.9,1,Low activity
DOG0334,2025-02-07,Pomeranian,F,14,1.17,20.9,25.4,3.67,41.2,77.0,118.2,8.21,12.0,185.6,1.31,256.8,2,Hyperactive
DOG0335,2025-10-15,German Shepherd,M,2,0.17,61.1,80.0,19.29,12.0,16.2,28.2,1.96,13.2,644.3,2.7416841289918232,1861.8,1,Low activity
DOG0336,2025-05-06,Golden Retriever,M,4,0.33,53.6,74.0,20.99,30.3,72.8,103.1,7.16,12.0,686.4,2.8344582528560966,1999.5,2,Hyperactive
DOG0337,2025-03-28,Dachshund,M,108,9.0,16.0,14.7,9.89,34.8,31.8,66.6,4.62,11.4,390.4,1.21,493.1,1,Low activity
DOG0338,2025-01-15,Golden Retriever,M,41,3.42,55.6,71.0,29.24,4.9,23.6,28.5,1.98,10.5,880.2,1.26,971.3,1,Low activity
DOG0339,2025-01-05,Bulldog,M,75,6.25,31.5,36.9,19.91,21.1,13.6,34.7,2.41,12.7,659.8,1.13,872.2,1,Low activity
DOG0340,2025-01-20,German Shepherd,M,37,3.08,61.5,58.4,31.98,62.6,99.2,161.8,11.24,12.0,941.4,1.22,1206.0,2,Hyperactive
